jobTitle,categoriesName,locations,employment,salaryMin,salaryMax,salary_mid,main_category,main_location,salaryMin_scaled,salaryMax_scaled,salary_mid_scaled
Junior Network Administrator,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Surabaya,Full-time,5500000.0,7700000.0,6600000.0,Komputer/Teknologi Informasi,Surabaya,0.09210526315789475,0.11691022964509395,0.1059371362048894
Software Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,6500000.0,10000000.0,8250000.0,Komputer/Teknologi Informasi,Surabaya,0.11842105263157895,0.16492693110647183,0.14435389988358557
SALES MARKETING,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Kalimantan Timur,Kalimantan Selatan",Full-time,3000000.0,6000000.0,4500000.0,Penjualan / Pemasaran,Kalimantan Timur,0.026315789473684202,0.08141962421711899,0.057043073341094284
Sekretaris,"Sumber Daya Manusia/Personalia,Sekretaris",Semarang,Full-time,3200000.0,3500000.0,3350000.0,Sumber Daya Manusia/Personalia,Semarang,0.03157894736842105,0.029227557411273482,0.03026775320139697
Data Reconciliation Officer,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Surabaya,Full-time,5000000.0,6000000.0,5500000.0,Sumber Daya Manusia/Personalia,Surabaya,0.07894736842105263,0.08141962421711899,0.08032596041909196
Sales Officer,"Penjualan / Pemasaran,Penjualan Ritel","Batam,Jakarta Raya,Bogor,Bekasi,Depok,Banjarmasin,Surabaya,Denpasar,Pontianak",Full-time,3200000.0,4480000.0,3840000.0,Penjualan / Pemasaran,Batam,0.03157894736842105,0.049686847599164925,0.04167636786961582
Regional Sales Manager,"Manufaktur,Manufaktur",Jakarta Raya,Full-time,12000000.0,16800000.0,14400000.0,Manufaktur,Jakarta Raya,0.2631578947368421,0.30688935281837165,0.2875436554132712
NATIONAL SALES MANAGER,"Manufaktur,Manufaktur",Jakarta Raya,Full-time,15000000.0,21000000.0,18000000.0,Manufaktur,Jakarta Raya,0.34210526315789475,0.39457202505219213,0.3713620488940628
Quality Assurance Regulatory Officer,"Manufaktur,Penjaminan Kualitas / QA",Jakarta Raya,Full-time,7000000.0,9800000.0,8400000.0,Manufaktur,Jakarta Raya,0.13157894736842107,0.16075156576200417,0.1478463329452852
Key Account Manager,"Manufaktur,Manufaktur",Jakarta Raya,Full-time,10000000.0,14000000.0,12000000.0,Manufaktur,Jakarta Raya,0.21052631578947367,0.24843423799582462,0.23166472642607683
